policy_id,policy_title,domain,state,district,source_type,source_name,respondent_type,comment_text,stance_label,sentiment_label
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Uttar Pradesh,Varanasi,citizen_interview,Interview – Student,NGO_rep,Implementation roadmap is unclear at ground level.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Uttar Pradesh,Varanasi,citizen_interview,Interview – Community,official,The programme has potential if monitoring improves.,Neutral,Neutral
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Madhya Pradesh,Bhopal,survey_report,Survey – School Meals,headmaster,Rural schools lack infrastructure for the new curriculum.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Delhi,South Delhi,survey_report,KGBV Field Evaluation,teacher,Kitchen facilities are insufficient.,Oppose,Negative
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Tamil Nadu,Chennai,focus_group,FGD with SMC,NGO_rep,People have heard about NEP but details are unclear.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Assam,Udalguri,focus_group,FGD with Panchayat,student,High interest rate makes this a good option for securing my girl's future.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Madhya Pradesh,Indore,citizen_interview,Interview – Community,investor,Mid-day meals increased attendance in our school.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Karnataka,Mysuru,focus_group,FGD with Panchayat,citizen,Quality of food is inconsistent and sometimes poor.,Oppose,Negative
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Madhya Pradesh,Bhopal,survey_report,Survey Report – RTE,official,Parents feel proud that their children study in reputed schools.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Assam,Udalguri,focus_group,FGD with Mothers,citizen,Documentation and bank procedures are too complicated for rural parents.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Chhattisgarh,Raipur,focus_group,FGD with Panchayat,headmaster,Women report better dignity after toilets were built.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Chhattisgarh,Raipur,key_informant,Interview – Education Officer,NGO_rep,NEP 2020 emphasizes critical thinking over rote learning.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Rajasthan,Udaipur,survey_report,Survey – School Meals,NGO_rep,Cleanliness drive reduced open defecation in our village.,Support,Positive
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Rajasthan,Udaipur,survey_report,Survey – School Meals,student,Some KGBVs need urgent repairs.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Delhi,South Delhi,survey_report,Survey Report – RTE,NGO_rep,High interest rate makes this a good option for securing my girl's future.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Delhi,New Delhi,citizen_interview,Interview – Student,investor,Funds are not reaching remote habitations.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Rajasthan,Jaipur,key_informant,Interview – Education Officer,citizen,Waste disposal systems exist but are poorly maintained.,Oppose,Negative
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Karnataka,Bengaluru Urban,citizen_interview,Interview – Community,girl_student,The scheme is useful but more awareness camps are required.,Neutral,Neutral
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Delhi,New Delhi,focus_group,FGD with SMC,headmaster,Monitoring should be strengthened at village level.,Neutral,Neutral
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Uttar Pradesh,Lucknow,focus_group,FGD with Panchayat,investor,RTE opened the doors of good private schools for poor children.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Tamil Nadu,Chennai,survey_report,KGBV Field Evaluation,teacher,NPEGEL helped tribal girls attend school more regularly.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Delhi,New Delhi,key_informant,Interview – District Coordinator,student,Monitoring should be strengthened at village level.,Neutral,Neutral
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Madhya Pradesh,Bhopal,citizen_interview,Interview – Community,official,Flexible subject choices will help students.,Support,Positive
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Madhya Pradesh,Bhopal,focus_group,FGD with Panchayat,headmaster,"Infrastructure is inadequate, especially toilets and bathrooms.",Oppose,Negative
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Tamil Nadu,Chennai,key_informant,Interview – Education Officer,NGO_rep,Results depend on funding and coordination.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Tamil Nadu,Chennai,survey_report,NPEGEL Impact Study,parent,Funds are not reaching remote habitations.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Chhattisgarh,Raipur,focus_group,FGD with Panchayat,parent,Children from poor families depend on the meal for nutrition.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Rajasthan,Jaipur,focus_group,FGD with SMC,girl_student,Parents feel proud that their children study in reputed schools.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Tamil Nadu,Coimbatore,key_informant,Interview – District Coordinator,parent,NPEGEL helped tribal girls attend school more regularly.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Delhi,South Delhi,key_informant,Interview – District Coordinator,girl_student,Mid-day meals increased attendance in our school.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Karnataka,Bengaluru Urban,focus_group,FGD with SMC,NGO_rep,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Uttar Pradesh,Varanasi,focus_group,FGD with Girls,teacher,Community mobilization meetings changed parents' attitudes.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Delhi,New Delhi,key_informant,Interview – District Coordinator,NGO_rep,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Assam,Udalguri,focus_group,FGD with Panchayat,girl_student,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Madhya Pradesh,Bhopal,citizen_interview,Interview – Teacher,investor,Parents feel their daughters are safe and supervised.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Tamil Nadu,Chennai,survey_report,Swachh Bharat Survey,official,Reimbursement delays make implementation difficult.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Karnataka,Bengaluru Urban,key_informant,Interview – District Coordinator,citizen,Teachers attended training but behaviour has changed only slightly.,Neutral,Neutral
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Madhya Pradesh,Bhopal,citizen_interview,Interview – Student,teacher,Flexible subject choices will help students.,Support,Positive
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Madhya Pradesh,Indore,key_informant,Interview – Headmaster,teacher,"Infrastructure is inadequate, especially toilets and bathrooms.",Oppose,Negative
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Uttar Pradesh,Varanasi,survey_report,Survey Report – RTE,student,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Assam,Udalguri,survey_report,Swachh Bharat Survey,girl_student,Community mobilization meetings changed parents' attitudes.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Chhattisgarh,Raipur,focus_group,FGD with Girls,parent,Cleanliness drive reduced open defecation in our village.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Chhattisgarh,Raipur,survey_report,Swachh Bharat Survey,citizen,Teachers attended training but behaviour has changed only slightly.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Karnataka,Mysuru,key_informant,Interview – Education Officer,official,Waste disposal systems exist but are poorly maintained.,Oppose,Negative
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Tamil Nadu,Madurai,focus_group,FGD with Mothers,headmaster,Flexible subject choices will help students.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Chhattisgarh,Raipur,focus_group,FGD with Mothers,parent,The scheme is useful but more awareness camps are required.,Neutral,Neutral
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Tamil Nadu,Coimbatore,focus_group,FGD with SMC,NGO_rep,Children from poor families depend on the meal for nutrition.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Delhi,South Delhi,focus_group,FGD with Panchayat,girl_student,The programme is active only on paper in our cluster.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Delhi,South Delhi,citizen_interview,Interview – Community,investor,NPEGEL helped tribal girls attend school more regularly.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Madhya Pradesh,Indore,survey_report,Swachh Bharat Survey,student,Children from poor families depend on the meal for nutrition.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Uttar Pradesh,Lucknow,key_informant,Interview – Education Officer,official,Survey scores do not fully reflect ground issues.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Rajasthan,Jaipur,focus_group,FGD with Girls,NGO_rep,People have accounts but many do not understand the conditions.,Neutral,Neutral
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Uttar Pradesh,Varanasi,key_informant,Interview – District Coordinator,parent,Implementation roadmap is unclear at ground level.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Karnataka,Mysuru,survey_report,Survey Report – RTE,official,Menu is simple; children want more variety.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Haryana,Rohtak,survey_report,KGBV Field Evaluation,NGO_rep,Life skills sessions should be more frequent.,Neutral,Neutral
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Delhi,New Delhi,focus_group,FGD with SMC,student,Private schools resist admitting EWS children and create hidden costs.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Haryana,Rohtak,focus_group,FGD with Mothers,teacher,KGBV hostel allows girls from remote villages to continue education.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Madhya Pradesh,Indore,focus_group,FGD with SMC,girl_student,Kitchen facilities are insufficient.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Rajasthan,Jaipur,survey_report,KGBV Field Evaluation,headmaster,Teachers attended training but behaviour has changed only slightly.,Neutral,Neutral
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Rajasthan,Udaipur,citizen_interview,Interview – Parent,official,Quality of food is inconsistent and sometimes poor.,Oppose,Negative
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Tamil Nadu,Coimbatore,survey_report,NPEGEL Impact Study,citizen,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Delhi,New Delhi,survey_report,Swachh Bharat Survey,teacher,Menu is simple; children want more variety.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Delhi,South Delhi,survey_report,Survey – School Meals,parent,Women report better dignity after toilets were built.,Support,Positive
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Rajasthan,Udaipur,survey_report,Survey Report – RTE,investor,Parents feel their daughters are safe and supervised.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Madhya Pradesh,Indore,citizen_interview,Interview – Teacher,parent,Quality of food is inconsistent and sometimes poor.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Tamil Nadu,Chennai,citizen_interview,Interview – Student,NGO_rep,"Infrastructure is inadequate, especially toilets and bathrooms.",Oppose,Negative
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Uttar Pradesh,Varanasi,citizen_interview,Interview – Community,student,Parents feel proud that their children study in reputed schools.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Madhya Pradesh,Indore,citizen_interview,Interview – Parent,citizen,Private schools resist admitting EWS children and create hidden costs.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Chhattisgarh,Raipur,survey_report,NPEGEL Impact Study,headmaster,Parents feel their daughters are safe and supervised.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Rajasthan,Jaipur,key_informant,Interview – District Coordinator,parent,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Madhya Pradesh,Bhopal,key_informant,Interview – Headmaster,headmaster,Results depend on funding and coordination.,Neutral,Neutral
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Madhya Pradesh,Bhopal,focus_group,FGD with Panchayat,headmaster,Children from poor families depend on the meal for nutrition.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Delhi,New Delhi,survey_report,Survey – School Meals,student,NPEGEL helped tribal girls attend school more regularly.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Karnataka,Mysuru,focus_group,FGD with SMC,investor,Community mobilization meetings changed parents' attitudes.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Karnataka,Mysuru,key_informant,Interview – NGO Leader,citizen,Children from poor families depend on the meal for nutrition.,Support,Positive
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Tamil Nadu,Madurai,citizen_interview,Interview – Community,investor,"Infrastructure is inadequate, especially toilets and bathrooms.",Oppose,Negative
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Madhya Pradesh,Indore,focus_group,FGD with SMC,headmaster,Flexible subject choices will help students.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Rajasthan,Udaipur,focus_group,FGD with SMC,student,The programme has potential if monitoring improves.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Rajasthan,Udaipur,citizen_interview,Interview – Parent,investor,Funds are not reaching remote habitations.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Assam,Udalguri,focus_group,FGD with Mothers,citizen,Life skills sessions should be more frequent.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Karnataka,Bengaluru Urban,focus_group,FGD with Mothers,girl_student,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Tamil Nadu,Madurai,citizen_interview,Interview – Community,official,Awareness is still low in many neighbourhoods.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Karnataka,Mysuru,focus_group,FGD with SMC,official,High interest rate makes this a good option for securing my girl's future.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Haryana,Rohtak,focus_group,FGD with Panchayat,teacher,RTE opened the doors of good private schools for poor children.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Delhi,South Delhi,citizen_interview,Interview – Community,citizen,Many toilets are unused due to water shortage.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Haryana,Rohtak,survey_report,Survey Report – RTE,girl_student,Mid-day meals increased attendance in our school.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Chhattisgarh,Raipur,focus_group,FGD with Mothers,teacher,Monitoring should be strengthened at village level.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Haryana,Rohtak,focus_group,FGD with Mothers,teacher,High interest rate makes this a good option for securing my girl's future.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Delhi,South Delhi,citizen_interview,Interview – Student,teacher,Awareness is still low in many neighbourhoods.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Madhya Pradesh,Indore,citizen_interview,Interview – Student,student,Teachers attended training but behaviour has changed only slightly.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Uttar Pradesh,Lucknow,survey_report,NPEGEL Impact Study,student,"Infrastructure is inadequate, especially toilets and bathrooms.",Oppose,Negative
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Madhya Pradesh,Bhopal,citizen_interview,Interview – Parent,girl_student,Reimbursement delays make implementation difficult.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Tamil Nadu,Chennai,citizen_interview,Interview – Student,student,Quality of food is inconsistent and sometimes poor.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Uttar Pradesh,Lucknow,citizen_interview,Interview – Student,girl_student,Quality of food is inconsistent and sometimes poor.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Karnataka,Bengaluru Urban,citizen_interview,Interview – Community,teacher,Kitchen facilities are insufficient.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Delhi,South Delhi,focus_group,FGD with Girls,investor,Cleanliness drive reduced open defecation in our village.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Assam,Udalguri,survey_report,Survey Report – RTE,investor,Private schools resist admitting EWS children and create hidden costs.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Madhya Pradesh,Indore,survey_report,KGBV Field Evaluation,NGO_rep,KGBV hostel allows girls from remote villages to continue education.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Tamil Nadu,Madurai,citizen_interview,Interview – Teacher,teacher,People have heard about NEP but details are unclear.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Uttar Pradesh,Varanasi,key_informant,Interview – NGO Leader,citizen,Staff vacancies create pressure on existing wardens.,Oppose,Negative
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Uttar Pradesh,Lucknow,key_informant,Interview – District Coordinator,parent,Monitoring should be strengthened at village level.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Tamil Nadu,Chennai,survey_report,NPEGEL Impact Study,parent,Community mobilization meetings changed parents' attitudes.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Chhattisgarh,Raipur,key_informant,Interview – NGO Leader,student,NPEGEL helped tribal girls attend school more regularly.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Haryana,Rohtak,survey_report,Survey – School Meals,teacher,NPEGEL helped tribal girls attend school more regularly.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Rajasthan,Udaipur,citizen_interview,Interview – Community,official,Mid-day meals increased attendance in our school.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Tamil Nadu,Madurai,survey_report,NPEGEL Impact Study,parent,Flexible subject choices will help students.,Support,Positive
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Madhya Pradesh,Indore,focus_group,FGD with SMC,teacher,The programme is active only on paper in our cluster.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Karnataka,Bengaluru Urban,key_informant,Interview – NGO Leader,teacher,"Infrastructure is inadequate, especially toilets and bathrooms.",Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Madhya Pradesh,Indore,citizen_interview,Interview – Teacher,parent,Funds are not reaching remote habitations.,Oppose,Negative
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Uttar Pradesh,Lucknow,focus_group,FGD with Panchayat,citizen,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Delhi,New Delhi,focus_group,FGD with Mothers,NGO_rep,Some KGBVs need urgent repairs.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Delhi,New Delhi,survey_report,Survey Report – RTE,parent,Waste disposal systems exist but are poorly maintained.,Oppose,Negative
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Haryana,Rohtak,key_informant,Interview – Headmaster,parent,NPEGEL helped tribal girls attend school more regularly.,Support,Positive
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Assam,Udalguri,key_informant,Interview – Headmaster,student,People have heard about NEP but details are unclear.,Neutral,Neutral
P002,National Programme for Education of Girls at the Elementary Level (NPEGEL),Girls_Education,Rajasthan,Udaipur,focus_group,FGD with SMC,NGO_rep,Teachers attended training but behaviour has changed only slightly.,Neutral,Neutral
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Tamil Nadu,Coimbatore,focus_group,FGD with SMC,citizen,Children from poor families depend on the meal for nutrition.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Tamil Nadu,Madurai,focus_group,FGD with Girls,citizen,Parents feel proud that their children study in reputed schools.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Karnataka,Bengaluru Urban,survey_report,Survey – School Meals,parent,The scheme is useful but more awareness camps are required.,Neutral,Neutral
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Madhya Pradesh,Indore,citizen_interview,Interview – Student,parent,Kitchen facilities are insufficient.,Oppose,Negative
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Rajasthan,Jaipur,survey_report,Swachh Bharat Survey,student,Documentation and bank procedures are too complicated for rural parents.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Madhya Pradesh,Bhopal,focus_group,FGD with Mothers,girl_student,Survey scores do not fully reflect ground issues.,Neutral,Neutral
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Tamil Nadu,Chennai,key_informant,Interview – NGO Leader,headmaster,Children from poor families depend on the meal for nutrition.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Tamil Nadu,Coimbatore,citizen_interview,Interview – Student,official,Mid-day meals increased attendance in our school.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Rajasthan,Jaipur,focus_group,FGD with Girls,NGO_rep,Awareness is still low in many neighbourhoods.,Neutral,Neutral
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Uttar Pradesh,Lucknow,key_informant,Interview – Headmaster,teacher,RTE opened the doors of good private schools for poor children.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Tamil Nadu,Chennai,key_informant,Interview – Headmaster,teacher,Many toilets are unused due to water shortage.,Oppose,Negative
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Delhi,New Delhi,key_informant,Interview – Education Officer,student,Cleanliness drive reduced open defecation in our village.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Tamil Nadu,Coimbatore,focus_group,FGD with Mothers,teacher,The scheme is useful but more awareness camps are required.,Neutral,Neutral
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Rajasthan,Jaipur,survey_report,NPEGEL Impact Study,student,Reimbursement delays make implementation difficult.,Oppose,Negative
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Delhi,New Delhi,focus_group,FGD with Panchayat,girl_student,Reimbursement delays make implementation difficult.,Oppose,Negative
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Rajasthan,Jaipur,key_informant,Interview – NGO Leader,teacher,"Infrastructure is inadequate, especially toilets and bathrooms.",Oppose,Negative
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Rajasthan,Jaipur,citizen_interview,Interview – Community,parent,Private schools resist admitting EWS children and create hidden costs.,Oppose,Negative
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Uttar Pradesh,Lucknow,focus_group,FGD with Girls,teacher,People have heard about NEP but details are unclear.,Neutral,Neutral
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Madhya Pradesh,Bhopal,citizen_interview,Interview – Community,parent,Flexible subject choices will help students.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Delhi,South Delhi,focus_group,FGD with Mothers,NGO_rep,Admission procedures are confusing for new applicants.,Neutral,Neutral
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Uttar Pradesh,Varanasi,survey_report,NPEGEL Impact Study,citizen,High interest rate makes this a good option for securing my girl's future.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Uttar Pradesh,Lucknow,key_informant,Interview – NGO Leader,teacher,Mid-day meals increased attendance in our school.,Support,Positive
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Tamil Nadu,Madurai,key_informant,Interview – District Coordinator,girl_student,Life skills sessions should be more frequent.,Neutral,Neutral
P004,Kasturba Gandhi Balika Vidyalaya (KGBV) Scheme,Residential_Girls_Education,Uttar Pradesh,Varanasi,focus_group,FGD with SMC,official,Parents feel their daughters are safe and supervised.,Support,Positive
P005,Mid-Day Meal Scheme (MDM),School_Nutrition,Rajasthan,Jaipur,survey_report,KGBV Field Evaluation,NGO_rep,Kitchen facilities are insufficient.,Oppose,Negative
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Tamil Nadu,Madurai,key_informant,Interview – NGO Leader,NGO_rep,High interest rate makes this a good option for securing my girl's future.,Support,Positive
P001,Sukanya Samriddhi Account Scheme,Financial_Inclusion,Karnataka,Bengaluru Urban,citizen_interview,Interview – Student,student,The scheme gives us a safe way to save for our daughters' education.,Support,Positive
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Delhi,South Delhi,focus_group,FGD with SMC,official,Survey scores do not fully reflect ground issues.,Neutral,Neutral
P007,National Education Policy 2020 (NEP 2020),Education_Reform,Karnataka,Bengaluru Urban,focus_group,FGD with Mothers,NGO_rep,NEP 2020 emphasizes critical thinking over rote learning.,Support,Positive
P003,RTE Act Section 12(1)(c) – EWS Quota in Private Schools,School_Access_Equity,Karnataka,Mysuru,citizen_interview,Interview – Parent,girl_student,Awareness is still low in many neighbourhoods.,Neutral,Neutral
P006,Swachh Survekshan Grameen 2022 – Rural Sanitation Survey,Sanitation_Rural,Delhi,New Delhi,key_informant,Interview – Headmaster,investor,Many toilets are unused due to water shortage.,Oppose,Negative
